date,vix,vix9d,vix3m,skew
2019-01-02,23.219999313354492,23.020000457763672,22.75,116.05999755859375
2019-01-03,25.450000762939453,26.959999084472656,24.110000610351562,112.22000122070312
2019-01-04,21.3799991607666,21.270000457763672,21.860000610351562,111.44000244140625
2019-01-07,21.399999618530273,21.68000030517578,21.6200008392334,113.55999755859375
2019-01-08,20.469999313354492,20.56999969482422,21.139999389648438,115.30000305175781
2019-01-09,19.979999542236328,19.18000030517578,20.690000534057617,117.01000213623047
2019-01-10,19.5,17.8799991607666,20.520000457763672,117.72000122070312
2019-01-11,18.190000534057617,16.100000381469727,19.739999771118164,119.08999633789062
2019-01-14,19.06999969482422,17.56999969482422,19.93000030517578,125.19999694824219
2019-01-15,18.600000381469727,16.84000015258789,19.239999771118164,126.87000274658203
2019-01-16,19.040000915527344,16.729999542236328,19.530000686645508,131.66000366210938
2019-01-17,18.059999465942383,15.75,19.170000076293945,133.02000427246094
2019-01-18,17.799999237060547,15.220000267028809,18.84000015258789,
2019-01-22,20.799999237060547,21.56999969482422,20.690000534057617,122.81999969482422
2019-01-23,19.520000457763672,19.360000610351562,20.079999923706055,123.87999725341797
2019-01-24,18.889999389648438,18.09000015258789,19.670000076293945,130.9199981689453
2019-01-25,17.420000076293945,16.350000381469727,18.81999969482422,126.11000061035156
2019-01-28,18.8700008392334,19.3799991607666,19.579999923706055,123.05999755859375
2019-01-29,19.1299991607666,19.850000381469727,19.600000381469727,121.9000015258789
2019-01-30,17.65999984741211,17.31999969482422,18.68000030517578,123.27999877929688
2019-01-31,16.56999969482422,15.510000228881836,17.8799991607666,126.52999877929688
2019-02-01,16.139999389648438,14.130000114440918,17.59000015258789,126.02999877929688
2019-02-04,15.729999542236328,13.579999923706055,17.190000534057617,128.39999389648438
2019-02-05,15.569999694824219,13.579999923706055,17.06999969482422,123.41999816894531
2019-02-06,15.380000114440918,12.729999542236328,16.899999618530273,123.72000122070312
2019-02-07,16.3700008392334,14.890000343322754,17.520000457763672,124.44999694824219
2019-02-08,15.720000267028809,13.609999656677246,17.260000228881836,127.72000122070312
2019-02-11,15.970000267028809,14.670000076293945,17.219999313354492,129.19000244140625
2019-02-12,15.430000305175781,13.470000267028809,16.81999969482422,128.60000610351562
2019-02-13,15.649999618530273,13.489999771118164,16.959999084472656,127.12000274658203
2019-02-14,16.219999313354492,14.109999656677246,17.31999969482422,126.88999938964844
2019-02-15,14.90999984741211,12.180000305175781,16.479999542236328,129.5500030517578
2019-02-19,14.880000114440918,13.380000114440918,16.450000762939453,124.68000030517578
2019-02-20,14.020000457763672,12.600000381469727,15.819999694824219,123.38999938964844
2019-02-21,14.460000038146973,13.180000305175781,16.15999984741211,122.41999816894531
2019-02-22,13.510000228881836,11.489999771118164,15.460000038146973,121.08000183105469
2019-02-25,14.850000381469727,14.0600004196167,16.0,127.66999816894531
2019-02-26,15.170000076293945,14.199999809265137,16.299999237060547,125.52999877929688
2019-02-27,14.699999809265137,13.140000343322754,15.989999771118164,126.44000244140625
2019-02-28,14.779999732971191,13.180000305175781,16.100000381469727,126.44000244140625
2019-03-01,13.569999694824219,11.329999923706055,15.380000114440918,126.97000122070312
2019-03-04,14.630000114440918,13.399999618530273,16.030000686645508,125.04000091552734
2019-03-05,14.739999771118164,13.359999656677246,16.149999618530273,126.4000015258789
2019-03-06,15.739999771118164,14.989999771118164,16.739999771118164,125.80000305175781
2019-03-07,16.59000015258789,16.149999618530273,17.299999237060547,123.13999938964844
2019-03-08,16.049999237060547,14.630000114440918,17.110000610351562,125.7300033569336
2019-03-11,14.329999923706055,13.399999618530273,16.010000228881836,132.92999267578125
2019-03-12,13.770000457763672,12.729999542236328,15.649999618530273,
2019-03-13,13.40999984741211,12.529999732971191,15.329999923706055,
2019-03-14,13.5,12.520000457763672,15.300000190734863,130.57000732421875
2019-03-15,12.880000114440918,11.220000267028809,14.979999542236328,128.75999450683594
2019-03-18,13.100000381469727,12.529999732971191,15.239999771118164,127.0999984741211
2019-03-19,13.5600004196167,13.529999732971191,15.5600004196167,123.12999725341797
2019-03-20,13.90999984741211,13.489999771118164,15.789999961853027,120.58999633789062
2019-03-21,13.630000114440918,13.109999656677246,15.510000228881836,120.66999816894531
2019-03-22,16.479999542236328,16.850000381469727,17.3700008392334,117.55000305175781
2019-03-25,16.329999923706055,16.40999984741211,17.450000762939453,117.5999984741211
2019-03-26,14.680000305175781,13.949999809265137,16.450000762939453,117.80000305175781
2019-03-27,15.149999618530273,14.699999809265137,16.780000686645508,117.66000366210938
2019-03-28,14.430000305175781,13.699999809265137,16.299999237060547,119.25
2019-03-29,13.710000038146973,12.34000015258789,15.800000190734863,120.95999908447266
2019-04-01,13.399999618530273,12.109999656677246,15.460000038146973,126.7699966430664
2019-04-02,13.359999656677246,11.859999656677246,15.539999961853027,127.30999755859375
2019-04-03,13.739999771118164,12.289999961853027,15.630000114440918,127.30999755859375
2019-04-04,13.579999923706055,11.579999923706055,15.479999542236328,126.2300033569336
2019-04-05,12.819999694824219,10.119999885559082,15.0600004196167,128.75
2019-04-08,13.180000305175781,10.739999771118164,15.279999732971191,129.1300048828125
2019-04-09,14.279999732971191,11.779999732971191,15.989999771118164,127.66000366210938
2019-04-10,13.300000190734863,10.140000343322754,15.380000114440918,127.61000061035156
2019-04-11,13.020000457763672,10.520000457763672,15.25,126.2300033569336
2019-04-12,12.010000228881836,9.739999771118164,14.460000038146973,124.22000122070312
2019-04-15,12.319999694824219,10.609999656677246,14.529999732971191,127.69000244140625
2019-04-16,12.180000305175781,10.760000228881836,14.470000267028809,125.80999755859375
2019-04-17,12.600000381469727,11.0,14.819999694824219,125.77999877929688
2019-04-18,12.09000015258789,9.930000305175781,14.569999694824219,123.5999984741211
2019-04-22,12.420000076293945,11.630000114440918,14.720000267028809,124.23999786376953
2019-04-23,12.279999732971191,11.640000343322754,14.539999961853027,124.6500015258789
2019-04-24,13.140000343322754,12.539999961853027,15.039999961853027,123.80999755859375
2019-04-25,13.25,12.359999656677246,15.210000038146973,124.18000030517578
2019-04-26,12.729999542236328,11.8100004196167,14.890000343322754,126.29000091552734
2019-04-29,13.109999656677246,12.520000457763672,15.229999542236328,125.79000091552734
2019-04-30,13.119999885559082,12.4399995803833,15.229999542236328,126.47000122070312
2019-05-01,14.800000190734863,14.949999809265137,16.190000534057617,125.31999969482422
2019-05-02,14.420000076293945,13.920000076293945,16.030000686645508,124.58999633789062
2019-05-03,12.869999885559082,10.960000038146973,15.069999694824219,122.22000122070312
2019-05-06,15.4399995803833,15.449999809265137,16.399999618530273,123.2300033569336
2019-05-07,19.31999969482422,20.739999771118164,18.780000686645508,116.87999725341797
2019-05-08,19.399999618530273,21.329999923706055,18.75,117.79000091552734
2019-05-09,19.100000381469727,21.860000610351562,18.440000534057617,117.68000030517578
2019-05-10,16.040000915527344,16.56999969482422,16.899999618530273,118.54000091552734
2019-05-13,20.549999237060547,22.760000228881836,19.790000915527344,119.36000061035156
2019-05-14,18.059999465942383,18.760000228881836,18.290000915527344,119.94999694824219
2019-05-15,16.440000534057617,16.309999465942383,17.489999771118164,120.87000274658203
2019-05-16,15.289999961853027,15.0600004196167,16.739999771118164,121.08999633789062
2019-05-17,15.960000038146973,16.260000228881836,17.059999465942383,118.69000244140625
2019-05-20,16.309999465942383,16.81999969482422,17.290000915527344,115.25
2019-05-21,14.949999809265137,14.5,16.420000076293945,117.16999816894531
2019-05-22,14.75,13.920000076293945,16.420000076293945,115.41999816894531
2019-05-23,16.920000076293945,17.399999618530273,17.690000534057617,114.70999908447266
2019-05-24,15.850000381469727,15.359999656677246,17.09000015258789,114.12000274658203
2019-05-28,17.5,17.979999542236328,17.899999618530273,112.58000183105469
2019-05-29,17.899999618530273,18.34000015258789,18.239999771118164,111.93000030517578
2019-05-30,17.299999237060547,17.1200008392334,17.959999084472656,112.68000030517578
2019-05-31,18.709999084472656,19.0,18.829999923706055,112.6500015258789
